,City,Latitude,Longitude,Temperature,Humidity,Wind Speed,Cloudiness
91,Kumul,42.8,93.45,35.44,40,15.39,42
92,Kilindoni,-7.91,39.67,84.06,70,6.82,95
93,Panalingaan,8.78,117.42,79.59,76,7.65,29
94,Nago,26.59,127.98,69.8,76,16.91,52
95,Pevek,69.7,170.31,3.7,93,8.14,100
96,Rawson,-43.3,-65.1,72.39,42,24.05,1
97,Dawlatabad,36.41,64.91,53.47,59,12.01,100
98,Canmore,51.08,-115.35,30.79,51,2.73,99
99,Gurupá,-1.41,-51.64,81.72,81,3.18,68
100,Chui,-33.7,-53.46,74.39,74,11.77,70
101,Yar-Sale,66.83,70.83,26.71,98,12.24,94
102,Atyrau,47.12,51.88,41.0,44,8.95,61
103,Cabo San Lucas,22.89,-109.91,82.18,34,8.05,5
104,Carballo,43.21,-8.69,50.5,3,1.01,5
105,Taoudenni,22.68,-3.98,69.89,21,8.9,0
106,Benjamin Constant,-4.38,-70.03,82.4,78,4.7,40
107,Yangi Marg`ilon,40.43,71.72,50.0,66,2.24,75
108,Saskylakh,71.92,114.08,-5.28,88,8.39,78
109,San-Pédro,4.75,-6.64,79.38,84,7.78,46
110,Amahai,-3.33,128.92,79.45,77,2.53,94
111,Aksaray,38.37,34.03,47.23,57,4.99,2
112,Pandamatenga,-18.53,25.63,68.11,49,2.06,43
113,Punta Arenas,-53.15,-70.92,56.08,71,13.87,75
114,Khānāpur,15.63,74.52,71.24,66,3.38,8
115,Chicama,-7.84,-79.15,79.41,62,10.13,29
116,São Filipe,14.9,-24.5,67.84,78,13.65,17
117,Naze,28.37,129.48,65.26,75,18.28,93
118,Salalah,17.02,54.09,75.2,64,2.24,75
119,Batagay,67.63,134.63,-17.25,85,0.31,36
120,Kununurra,-15.77,128.73,77.0,88,4.63,98
121,Sambava,-14.27,50.17,77.31,86,5.99,95
122,Vila Velha,-20.33,-40.29,75.09,78,9.17,40
123,Port Lincoln,-34.73,135.87,59.88,81,12.88,95
124,Watrous,51.67,-105.47,27.43,86,5.28,100
125,Yazman,29.12,71.74,76.28,46,7.81,100
126,Caravelas,-17.71,-39.25,77.13,72,13.11,70
127,Tiarei,-17.53,-149.33,82.22,70,8.03,8
128,Hobart,-42.88,147.33,46.78,81,5.82,1
129,Mahébourg,-20.41,57.7,77.0,88,5.82,20
130,Tura,25.52,90.22,70.52,40,2.1,15
131,Pueblo Nuevo,23.38,-105.38,81.48,19,8.81,0
132,Qaanaaq,77.48,-69.36,7.0,82,7.99,100
133,Quatre Cocos,-20.21,57.76,79.16,80,18.16,23
134,Nālūt,30.33,10.85,57.36,51,7.7,6
135,Great Bend,38.36,-98.76,81.39,22,11.41,1
136,Houma,29.6,-90.72,84.54,54,10.29,75
137,Dicabisagan,17.08,122.42,74.41,83,2.64,7
138,Nikolskoye,59.7,30.79,37.33,74,12.93,2
139,Mahajanga,-15.72,46.32,82.4,83,2.24,20
140,Geraldton,-28.77,114.6,69.8,64,2.24,0
141,Nauta,-4.51,-73.58,90.34,58,0.43,99
142,Salisbury,51.07,-1.8,38.61,55,8.05,0
143,Longyearbyen,78.22,15.64,14.0,78,8.05,40
144,Ranong,9.97,98.63,77.86,82,4.5,89
145,La Ronge,55.1,-105.28,23.0,79,3.36,90
146,Antalaha,-14.9,50.28,78.1,83,8.32,78
147,Vila Franca do Campo,37.72,-25.43,55.53,67,19.46,21
148,Calvillo,21.85,-102.72,91.6,6,6.89,0
149,Katsuura,35.13,140.3,55.13,57,8.59,100
150,Lākheri,25.67,76.17,71.87,59,2.62,71
151,George Town,5.41,100.34,79.29,94,2.24,20
152,Touros,-5.2,-35.46,83.37,69,8.97,93
153,Oddur,4.12,43.89,80.71,59,11.21,77
154,Norman Wells,65.28,-126.83,30.2,86,10.29,90
155,East London,-33.02,27.91,73.15,82,24.29,91
156,Fushun,41.86,123.92,45.72,67,4.45,93
157,Kruisfontein,-34.0,24.73,63.84,80,32.39,83
158,Mgandu,-5.95,34.13,62.28,63,3.47,22
159,Singaraja,-8.11,115.09,81.64,75,4.27,14
160,Kilemary,56.78,46.87,32.9,86,10.4,99
161,Coyhaique,-45.58,-72.07,68.0,49,5.82,40
162,Husavik,66.04,-17.34,31.86,92,14.58,100
163,Aripuanã,-9.17,-60.63,81.46,87,1.54,80
164,Denpasar,-8.65,115.22,80.6,94,5.82,20
165,Bathsheba,13.22,-59.52,80.6,65,17.22,40
166,Kīhei,20.79,-156.47,71.17,61,17.22,40
167,Berlevåg,70.86,29.09,33.71,88,34.61,99
168,Mohān,26.78,80.68,74.17,32,8.23,23
169,Kavaratti,10.57,72.64,82.96,68,6.46,0
170,Ullapool,57.9,-5.16,41.88,83,4.18,100
171,Bilibino,68.05,166.44,13.77,91,0.78,100
172,Saint Anthony,45.02,-93.22,40.35,86,6.93,90
173,Faanui,-16.48,-151.75,83.05,68,7.85,50
174,Lodja,-3.48,23.43,71.91,79,1.52,57
175,Codrington,-38.27,141.97,54.57,87,10.8,4
176,Okhotsk,59.38,143.3,13.46,90,8.01,0
177,Kiruna,67.86,20.23,28.4,79,10.29,14
178,Kavieng,-2.57,150.8,80.92,81,13.47,100
179,Provideniya,64.38,-173.3,28.4,79,4.47,90
180,San Luis,-33.3,-66.34,69.91,48,9.33,61
181,Coquimbo,-29.95,-71.34,64.4,82,11.41,75
182,Ishigaki,24.34,124.16,73.4,94,11.41,75
183,Lambaréné,-0.7,10.24,75.06,94,2.66,100
184,Djebeniana,35.03,10.91,48.97,71,31.76,36
185,Faya,18.39,42.45,57.92,39,3.02,48
186,Mwinilunga,-11.74,24.43,64.09,63,2.51,100
187,Bandarbeyla,9.49,50.81,80.11,78,14.18,46
188,Nyurba,63.28,118.33,-6.65,89,2.19,99
189,Pochutla,15.74,-96.47,87.4,55,10.0,2
190,Ballina,-28.87,153.57,66.51,93,3.83,40
191,Kasongo-Lunda,-6.47,16.82,72.68,78,1.7,69
192,Shubarshi,48.59,57.19,32.36,77,7.78,64
193,Victor Harbor,-35.57,138.62,48.0,87,10.29,48
194,Gizo Government Station,-8.1,156.84,82.94,75,5.88,91
195,Palmer,42.16,-72.33,41.14,56,9.17,90
196,Tataouine,32.93,10.45,50.56,58,16.06,27
197,Pacific Grove,36.62,-121.92,53.73,58,10.29,75
198,Ketchikan,55.34,-131.65,42.8,60,11.41,1
199,Te Anau,-45.42,167.72,52.61,66,5.3,36
200,Freeport,40.66,-73.58,44.28,78,17.22,90
201,Mount Gambier,-37.83,140.77,50.0,100,4.7,90
202,Ola,59.58,151.28,20.05,89,6.29,29
203,Vaasa,63.1,21.62,41.0,79,9.17,100
204,Srednekolymsk,67.45,153.68,-8.84,89,3.33,21
205,Vestmanna,62.16,-7.17,42.28,72,23.76,47
206,Bluff,-46.6,168.33,52.3,73,9.98,56
207,Kahului,20.89,-156.47,70.63,61,17.22,40
208,Port Hardy,50.7,-127.42,46.4,70,8.05,20
209,Tigzirt,36.89,4.12,50.11,53,6.06,79
210,Urucará,-2.54,-57.76,84.81,77,1.05,65
211,Portoferraio,42.81,10.31,46.11,69,29.66,22
212,Dudinka,69.41,86.18,18.55,96,25.05,100
213,Laramie,41.31,-105.59,44.6,39,19.46,20
214,Aleksandrov Gay,50.15,48.57,35.13,85,9.84,0
215,Tuktoyaktuk,69.45,-133.04,5.0,84,24.16,90
216,Tilichiki,60.47,166.1,30.9,94,1.61,100
217,Kismayo,-0.36,42.55,83.43,79,11.12,83
218,Castro,-24.79,-50.01,66.58,50,2.66,29
219,Cayenne,4.93,-52.33,78.8,83,8.05,75
220,Kangaatsiaq,68.31,-53.46,5.68,94,29.46,99
221,Letlhakane,-21.42,25.58,75.81,30,5.48,0
222,Hoskote,13.07,77.8,69.8,77,5.82,20
223,Sabang,5.89,95.32,82.69,71,4.29,100
224,Zambezi,-13.54,23.1,68.47,65,4.32,99
225,Arvika,59.66,12.59,39.4,73,11.36,98
226,San Quintín,30.48,-115.95,61.65,62,19.91,100
227,Elmira,42.09,-76.81,44.1,65,5.82,90
228,Sisimiut,66.94,-53.67,5.7,93,23.13,100
229,Port Blair,11.67,92.75,80.8,63,7.2,19
230,Drumheller,51.46,-112.71,25.38,85,4.16,53
231,Cabedelo,-6.98,-34.83,81.39,75,7.85,57
232,Pangnirtung,66.15,-65.71,-13.0,69,8.05,20
233,Pereira Barreto,-20.64,-51.11,77.04,71,6.62,4
234,Gumi,36.11,128.34,53.6,46,2.24,40
235,Raahe,64.68,24.48,36.0,84,13.22,35
236,Broken Hill,-31.95,141.43,48.2,57,3.36,0
237,Cidreira,-30.18,-50.21,73.81,73,15.68,0
238,Dali,25.7,100.18,45.48,45,3.58,0
239,Leh,34.17,77.58,17.71,28,7.25,63
240,Puerto del Rosario,28.5,-13.86,64.4,68,10.29,20
241,Grand-Lahou,5.14,-5.02,81.03,83,11.32,96
242,Sirte,31.21,16.59,64.76,69,14.67,32
243,Pozo Colorado,-23.49,-58.8,96.49,22,5.46,0
244,Kushima,31.46,131.23,59.16,86,3.65,55
245,Broome,42.25,-75.83,39.85,82,6.93,90
246,Oistins,13.07,-59.53,80.6,65,17.22,40
247,Hong Kong,22.29,114.16,71.02,88,17.0,95
248,Batagay-Alyta,67.8,130.41,-17.52,75,1.81,0
249,Moravské Budějovice,49.05,15.81,28.0,75,3.0,69
250,Laguna,38.42,-121.42,58.46,41,5.82,1
251,Birnin Kebbi,12.45,4.2,88.39,15,8.66,55
252,Asău,46.43,26.4,30.85,75,5.91,100
253,Kirakira,-10.45,161.92,83.17,76,1.25,91
254,Makakilo City,21.35,-158.09,73.69,83,12.75,90
255,Waipawa,-41.41,175.52,58.28,65,9.53,27
256,Santiago,-33.46,-70.65,83.26,24,4.7,2
257,Biltine,14.53,20.92,85.26,11,8.05,99
258,Ribeira Grande,38.52,-28.7,53.64,63,14.29,50
259,Zhangaözen,43.3,52.8,44.44,52,16.31,7
260,Kulhudhuffushi,6.62,73.07,82.58,65,2.64,80
261,Clyde River,70.47,-68.59,-14.8,68,6.93,1
262,Harrisonville,38.65,-94.35,70.43,49,12.75,1
263,Guerrero Negro,27.98,-114.06,66.65,55,19.42,40
264,Nautla,20.22,-96.78,85.75,63,9.95,5
265,Daura,11.55,11.41,89.26,28,9.1,81
266,Mattru,7.62,-11.83,78.96,81,4.59,30
267,Foindu,7.41,-11.54,78.71,84,4.43,71
268,Nantucket,41.28,-70.1,40.05,87,19.46,90
269,Talcahuano,-36.72,-73.12,73.4,60,10.29,0
270,Quesnel,53.0,-122.5,37.4,37,4.7,1
271,Meulaboh,4.14,96.13,79.2,83,4.92,99
272,Ocampo,21.65,-101.5,81.84,6,9.98,0
273,Xai-Xai,-25.05,33.64,73.65,83,8.68,0
274,Shaunavon,49.65,-108.42,28.4,71,4.79,99
275,Abu Dhabi,24.47,54.37,68.0,68,2.24,1
276,Port-Cartier,50.03,-66.87,31.08,98,1.43,93
277,Ippy,6.27,21.22,77.45,47,1.01,100
278,Gohpur,26.88,93.63,72.46,48,2.59,62
279,Ghanzi,-21.57,21.78,74.53,32,5.79,66
280,Along,28.17,94.77,62.2,64,3.69,29
281,Souillac,-20.52,57.52,77.0,88,5.82,20
282,Plácido de Castro,-10.34,-67.19,89.53,56,3.42,10
283,Panabá,21.28,-88.27,91.09,35,9.51,0
284,Carnarvon,-24.87,113.63,75.2,88,4.7,0
285,Narsaq,60.92,-46.05,23.72,92,12.1,97
286,Grindavik,63.84,-22.43,35.6,80,25.28,75
287,Luau,-10.71,22.22,67.44,66,1.61,88
288,Bambous Virieux,-20.34,57.76,77.0,88,5.82,20
289,Portland,45.52,-122.68,50.07,57,3.36,75
290,Sal Rei,16.18,-22.92,68.85,74,12.73,41
291,Aykhal,66.0,111.5,-6.05,84,4.88,93
292,Räpina,58.1,27.46,36.99,75,13.47,9
293,Mont-Dore,-22.28,166.58,81.0,97,11.99,36
294,Xinyu,27.8,114.93,68.04,87,4.72,100
295,Aksu,41.12,80.26,45.99,35,7.05,100
296,Marystown,47.17,-55.15,32.59,91,15.9,32
297,São Marcos,-28.97,-51.07,70.99,42,2.55,0
298,Alizai,33.54,70.35,54.93,54,1.07,30
299,São Miguel do Araguaia,-13.28,-50.16,77.36,84,2.57,89
300,Sibolga,1.74,98.78,77.05,79,2.48,100
301,Methóni,36.82,21.7,54.73,77,26.42,100
302,Tygda,53.12,126.33,22.77,91,7.56,38
303,Bose,45.46,8.01,38.03,81,6.11,100
304,Bubaque,11.28,-15.83,78.49,73,13.47,0
305,Misratah,32.38,15.09,58.8,73,29.44,64
306,Harrisburg,40.27,-76.88,44.1,75,3.36,90
307,Merauke,-8.47,140.33,76.35,91,6.46,100
308,Khani,41.96,42.96,45.97,68,1.86,97
309,Conde,-7.26,-34.91,82.4,78,4.7,75
310,Gucheng,35.91,111.32,58.5,53,7.31,73
311,Khatanga,71.97,102.5,0.81,90,8.16,71
312,Paraíso,9.84,-83.87,70.12,52,2.55,100
313,Diego de Almagro,-26.37,-70.05,77.22,18,11.3,0
314,San Buenaventura,27.08,-101.53,93.07,24,5.37,0
315,Vilhena,-12.74,-60.15,82.4,74,8.05,40
316,Vila,42.03,-8.16,41.76,74,1.92,10
317,Wanning,18.8,110.4,75.56,86,6.93,36
318,Homestead,25.47,-80.48,87.26,38,12.75,20
319,Karratha,-20.74,116.85,89.19,40,9.8,50
320,Pisco,-13.7,-76.22,72.16,30,19.46,40
321,Tessalit,20.2,1.01,66.92,20,9.31,23
322,Altamira,-3.2,-52.21,81.7,77,2.77,33
323,Xingyi,24.19,102.82,52.07,33,4.61,0
324,Ilulissat,69.22,-51.1,10.4,72,24.16,100
325,Vanimo,-2.67,141.3,78.73,83,7.14,100
326,Strezhevoy,60.73,77.59,32.27,96,12.55,100
327,Aklavik,68.22,-135.01,14.0,66,18.34,90
328,Nouadhibou,20.93,-17.03,64.4,82,13.87,0
329,Makassar,-5.14,119.42,75.2,100,2.24,20
330,Susanville,40.42,-120.65,36.88,51,10.29,1
331,Shingū,33.73,135.98,48.42,57,5.77,56
332,Belaya Gora,68.53,146.42,-11.34,88,6.91,91
333,Nome,64.5,-165.41,30.09,80,3.36,40
334,Haines Junction,60.75,-137.51,28.22,76,6.64,56
335,Dehlorān,32.69,47.27,67.35,45,4.79,88
336,Honolulu,21.31,-157.86,74.44,57,23.04,75
337,Beryslav,46.84,33.43,39.99,70,15.55,0
338,Solnechnyy,50.72,136.63,22.53,94,1.12,2
339,Aginskoye,51.1,114.53,9.25,73,22.86,100
340,Vieques,18.43,-65.83,80.6,65,12.75,75
341,Leshukonskoye,64.9,45.76,34.39,95,12.68,100
342,Margate,51.38,1.39,46.0,62,4.0,79
343,Columbia,34.0,-81.03,71.91,56,5.82,20
344,Maniitsoq,65.42,-52.9,9.28,92,20.94,100
345,Waingapu,-9.66,120.26,78.84,76,2.73,91
346,Kultuk,51.72,103.7,8.82,79,6.33,67
347,Marzuq,14.4,46.47,73.56,44,7.25,81
348,Esperance,-33.87,121.9,64.78,74,14.63,20
349,Cintalapa,16.7,-93.73,92.19,31,4.07,0
350,Paamiut,61.99,-49.67,21.42,91,9.6,100
351,Wuwei,37.93,102.64,36.86,36,4.25,100
352,Acajutla,13.59,-89.83,85.66,58,6.29,0
353,Kimbe,-5.55,150.14,77.59,89,1.1,89
354,Verkhnyaya Inta,65.98,60.31,27.95,95,20.02,100
355,Khandagayty,50.73,92.05,1.33,74,0.85,38
356,Zyryanka,65.75,150.85,-5.6,90,8.34,42
357,Parabel',58.7,81.48,28.67,97,11.01,100
358,Acapulco de Juárez,16.86,-99.89,86.0,66,8.05,5
359,Petropavlovsk-Kamchatskiy,53.05,158.65,33.8,100,4.23,75
360,Nambucca Heads,-30.65,153.0,65.25,94,3.94,100
361,Itambé,-15.24,-40.62,70.5,73,2.89,69
362,Eureka,40.8,-124.16,49.59,70,4.0,86
363,La Santisima Trinidad,-14.83,-64.9,89.6,70,3.36,75
364,Juegang,32.32,121.19,60.82,97,9.91,100
365,Myanaung,18.28,95.32,65.86,74,1.83,7
366,Sept-Îles,50.2,-66.38,30.79,74,6.93,75
367,Pontes e Lacerda,-15.23,-59.34,82.49,82,1.36,73
368,Buala,-8.14,159.59,81.9,79,0.56,95
369,Fairbanks,64.84,-147.72,33.58,90,11.41,90
370,Aksarka,66.56,67.8,27.77,97,15.05,100
371,Ahipara,-35.17,173.17,63.27,69,1.81,91
372,Morón,-34.65,-58.62,72.93,83,8.01,100
373,Sinfra,6.62,-5.92,77.25,77,1.77,78
374,Popondetta,-8.75,148.25,76.84,84,4.76,100
375,Newport,51.59,-3.0,44.47,68,4.18,0
376,La Plaine,15.33,-61.25,77.61,73,12.3,13
377,Ust'-Ishim,57.69,71.17,24.04,93,11.79,99
378,Ternate,0.8,127.4,79.3,80,2.44,100
379,Bālugaon,20.17,85.1,77.45,63,2.21,0
380,Boa Vista,2.82,-60.67,95.0,34,10.29,40
381,Imbituba,-28.24,-48.67,74.71,65,14.56,1
382,Port Augusta,-32.5,137.77,56.3,56,5.88,4
383,Dwārka,22.24,68.97,75.45,79,11.07,100
384,Genhe,50.78,121.52,10.6,82,14.81,100
385,Constitución,-35.33,-72.42,68.49,60,10.0,11
386,Lithgow,-33.48,150.15,47.62,74,8.55,100
387,Adrar,20.5,-10.07,68.25,20,9.86,0
388,Kailua,21.4,-157.74,74.03,61,21.92,40
389,Los Llanos de Aridane,28.66,-17.92,59.63,63,6.93,75
390,Chaiya,9.39,99.2,76.41,87,3.94,77
391,Fernie,49.5,-115.07,38.5,45,5.19,39
392,Kendari,-3.94,122.5,74.86,93,3.24,7
393,Hambantota,6.12,81.12,73.4,100,3.36,20
394,Motygino,58.18,94.76,21.16,95,7.43,100
395,Batemans Bay,-35.72,150.18,55.89,76,8.84,39
396,Montélimar,44.56,4.75,41.41,84,5.44,97
397,Baruun-Urt,46.68,113.28,11.25,61,16.31,0
398,Abaza,52.66,90.09,16.43,85,5.19,67
399,Harper,4.38,-7.72,79.68,82,6.58,46
400,Bayjī,34.93,43.49,63.99,47,9.98,50
401,Nhulunbuy,-12.23,136.77,77.0,94,4.7,68
402,Cloquet,46.72,-92.46,37.8,59,9.17,75
403,Severo-Kuril'sk,50.68,156.12,30.18,93,4.63,98
404,Chālūs,36.66,51.42,51.8,100,1.36,90
405,Bilma,18.69,12.92,86.77,15,9.1,57
406,Weligama,5.97,80.42,74.98,77,8.39,54
407,Barcelos,41.54,-8.62,51.84,88,5.23,0
408,Athabasca,54.72,-113.29,28.08,82,10.27,36
409,Avera,33.19,-82.53,76.53,49,10.49,0
410,Rapid Valley,44.06,-103.15,32.04,100,12.75,90
411,Fortuna,40.6,-124.16,49.19,70,6.89,90
412,Abalak,58.13,68.59,25.72,94,12.19,100
413,Līsakovsk,52.54,62.49,14.97,92,9.48,100
414,Norīa,32.52,74.8,63.0,56,3.94,97
415,Ormara,25.21,64.64,72.01,68,11.05,100
416,Ambon City,-3.7,128.18,77.0,88,8.05,20
417,Livingstone,-17.84,25.85,68.38,56,2.13,70
418,Takelsa,36.78,10.63,48.79,70,27.0,83
419,Cherskiy,68.75,161.3,-0.11,93,10.13,100
420,Praia,14.92,-23.51,71.6,64,16.11,75
421,Chokurdakh,70.63,147.92,-23.24,83,3.42,11
422,Northam,51.03,-4.22,41.05,78,8.05,0
423,Barra do Corda,-5.5,-45.25,75.67,91,2.15,99
424,Tahe,52.33,124.73,20.97,84,10.89,0
425,New Milford,40.93,-74.02,43.81,65,17.22,90
426,Plettenberg Bay,-34.05,23.37,63.28,84,19.86,100
427,Poum,-20.23,164.02,78.17,74,12.41,23
428,Mogadishu,2.04,45.34,83.01,79,11.59,83
429,Alofi,-19.06,-169.92,82.4,69,10.29,40
430,Mogzon,51.74,111.96,3.69,79,21.47,100
431,Henties Bay,-22.12,14.28,64.22,80,8.66,0
432,Marabu,4.41,114.01,78.4,94,3.36,75
433,Mareeba,-17.0,145.43,73.0,87,4.0,100
434,Jatai,-17.88,-51.71,75.51,71,6.11,32
435,Lakota,5.85,-5.69,74.91,89,2.93,94
436,Kamiiso,41.82,140.65,44.6,65,10.29,75
437,Dédougou,12.47,-3.47,86.0,16,3.22,97
438,Prince George,53.92,-122.75,33.8,55,14.99,1
439,Sitka,57.05,-135.33,39.2,86,6.93,90
440,Tombouctou,20.0,-3.0,70.16,20,8.14,6
441,Shelburne,44.08,-80.2,40.23,78,4.41,100
442,Nemuro,43.32,145.57,34.0,87,19.86,81
443,Cooma,-36.23,149.13,41.0,100,5.82,25
444,Nizhneangarsk,55.78,109.55,1.08,78,3.56,99
445,Luxor,25.7,32.64,73.4,38,2.24,16
446,Yar,58.25,52.1,28.27,94,12.3,100
447,Rehti,22.73,77.43,75.88,52,3.11,99
448,Point Fortin,10.18,-61.68,80.24,69,15.17,59
449,Kabala,9.58,-11.55,80.01,51,2.93,95
450,Saint-François,46.42,3.91,37.4,55,6.93,25
451,Kommunisticheskiy,61.68,64.48,25.07,93,10.38,74
452,Izumo,35.37,132.77,37.4,93,10.29,75
453,Esim,4.87,-2.24,80.46,80,7.43,100
454,Changping,40.22,116.22,45.05,61,11.39,100
455,Al Bardīyah,31.76,25.09,62.69,63,20.4,100
456,Sānchor,24.76,71.77,77.77,45,7.38,100
457,Sarankhola,22.31,89.79,74.5,81,5.08,0
458,Umluj,25.02,37.27,74.59,54,4.99,40
459,Talara,-4.58,-81.27,62.6,100,13.87,28
460,Arkhangelsk,64.54,40.54,39.2,88,15.66,90
461,Manjacaze,-24.71,33.88,72.3,84,8.9,0
462,Garelochhead,56.08,-4.83,46.99,91,1.57,100
463,Marawi,8.0,124.29,67.06,73,2.59,58
464,Oriximiná,-1.77,-55.87,84.22,75,1.14,26
465,Lagoa,39.05,-27.98,53.76,64,15.23,92
466,Teguise,29.06,-13.56,60.8,77,6.93,20
467,Matara,5.95,80.54,74.73,77,8.46,49
468,Marivan,35.52,46.18,48.18,45,5.23,100
469,Diffa,13.32,12.61,88.97,25,7.7,91
470,North Bend,43.41,-124.22,48.2,70,10.29,40
471,Bedēsa,8.9,40.78,64.67,52,2.13,13
472,Pemangkat,1.17,108.97,77.49,88,5.79,81
473,Tifton,31.45,-83.51,84.2,42,9.17,40
474,Baykit,61.67,96.37,7.72,90,1.68,92
475,Ereymentau,51.62,73.1,13.77,90,4.34,0
476,Soyo,-6.13,12.37,81.46,81,4.81,100
