City,Country,Latitude,Longitude,Temperature,Humidity,Wind Speed,Cloudiness
Narsaq,GL,60.92,-46.05,41.0,30,27.51,100
Río Gallegos,AR,-51.62,-69.22,73.4,31,17.22,75
Oddur,SO,4.12,43.89,79.59,57,14.03,9
Lompoc,US,34.64,-120.46,52.97,87,5.82,90
Mitsamiouli,KM,-11.38,43.28,84.27,76,15.64,1
Port-Gentil,GA,-0.72,8.78,81.91,75,2.48,28
Rio Verde de Mato Grosso,BR,-18.92,-54.84,78.44,66,5.88,18
Puerto Escondido,MX,15.85,-97.07,87.8,79,6.93,40
Holme,DK,56.11,10.17,38.61,80,8.05,84
Naze,JP,28.37,129.48,66.2,68,11.41,40
Butaritari,KI,3.07,172.79,84.24,77,12.21,100
Igrim,RU,63.19,64.42,33.89,89,12.5,100
Richards Bay,ZA,-28.78,32.04,70.39,82,17.18,28
Faanui,PF,-16.48,-151.75,82.85,78,10.13,96
Mastic Beach,US,40.77,-72.85,53.17,54,19.46,1
Den Helder,NL,52.96,4.76,47.21,75,16.11,75
Lorengau,PG,-2.02,147.27,81.86,76,4.32,95
Maceió,BR,-9.67,-35.74,80.6,83,9.17,77
Kidderminster,GB,52.39,-2.25,54.55,76,5.82,98
Pemangkat,ID,1.17,108.97,77.77,88,4.76,50
Clyde River,CA,70.47,-68.59,8.6,92,4.7,5
Mayo,US,38.89,-76.51,57.54,41,23.04,1
Kulhudhuffushi,MV,6.62,73.07,84.45,71,5.86,0
Ribeira Grande,PT,38.52,-28.7,62.6,88,3.36,20
Upernavik,GL,72.79,-56.15,15.17,87,8.28,50
San Quintín,MX,30.48,-115.95,62.19,51,12.86,0
Plettenberg Bay,ZA,-34.05,23.37,68.32,49,2.06,93
Ponta do Sol,PT,32.67,-17.1,62.64,77,8.05,20
Rockford,US,42.27,-89.09,42.01,56,16.11,90
Hargeisa,SO,9.56,44.06,76.95,39,2.24,83
Kruisfontein,ZA,-34.0,24.73,65.48,41,5.23,78
Codrington,AU,-38.27,141.97,57.16,78,12.77,16
Roncesvalles,CO,4.01,-75.6,81.59,61,1.36,75
Tevaitoa,PF,-16.78,-151.5,83.61,78,10.74,84
Dunedin,NZ,-45.87,170.5,51.62,73,4.72,91
Rafai,CF,4.95,23.92,69.8,81,2.08,100
Ivaiporã,BR,-24.25,-51.68,68.92,51,3.51,0
Pochutla,MX,15.74,-96.47,92.08,38,11.41,20
Yulara,AU,-25.24,130.99,55.4,47,5.82,21
Palatka,US,29.65,-81.64,89.91,45,8.05,20
Novotroitskaya,RU,45.33,41.53,40.6,60,8.95,0
Smithers,CA,54.78,-127.17,44.6,57,3.36,75
Jamestown,US,42.1,-79.24,36.57,86,17.18,90
Lipin Bor,RU,60.26,37.98,34.9,89,4.99,97
Katobu,ID,-4.94,122.53,75.15,90,1.12,87
Iqaluit,CA,63.75,-68.51,19.2,62,2.24,20
Necochea,AR,-38.55,-58.74,60.94,78,1.99,0
Naryan-Mar,RU,67.67,53.09,28.02,98,16.82,97
Cabañas,CU,22.98,-82.92,89.29,46,13.87,20
Keti Bandar,PK,24.14,67.45,76.28,79,11.61,0
Riyadh,SA,24.69,46.72,93.2,21,4.7,40
College,US,64.86,-147.8,18.64,44,11.41,20
Estelle,US,29.85,-90.11,87.15,58,3.36,75
Cururupu,BR,-1.83,-44.87,79.32,89,5.12,64
Lagoa,PT,39.05,-27.98,61.66,74,6.46,100
Dakar,SN,14.69,-17.44,75.63,73,11.41,0
Vestmannaeyjar,IS,63.44,-20.27,39.96,71,7.05,100
Bud,US,39.45,-86.18,48.13,39,13.87,90
Biltine,TD,14.53,20.92,80.01,44,2.71,99
Manāsa,IN,24.48,75.27,80.46,19,6.33,0
Miraflores,MX,19.22,-98.81,83.07,23,4.7,40
Banda Aceh,ID,5.56,95.32,79.99,76,4.0,85
Katangli,RU,51.71,143.23,24.28,97,10.47,48
Puerto Ayora,EC,-0.74,-90.35,82.2,74,11.41,40
Tsabong,BW,-26.02,22.4,70.65,45,20.89,26
Det Udom,TH,14.91,105.08,75.2,83,4.7,59
Esperance,AU,-33.87,121.9,66.2,93,6.93,90
Port Alfred,ZA,-33.59,26.89,67.55,81,14.38,81
Zhigansk,RU,66.77,123.37,34.88,94,19.46,100
Rafaela,AR,-31.25,-61.49,71.76,32,1.99,0
Nanortalik,GL,60.14,-45.24,35.51,80,19.3,88
Plastun,RU,44.76,136.29,29.68,93,6.17,13
Pascagoula,US,30.37,-88.56,86.63,66,5.82,1
Cidreira,BR,-30.18,-50.21,66.47,71,14.29,13
Itumbiara,BR,-18.42,-49.22,76.35,71,8.12,8
Canyon,US,34.98,-101.92,64.47,42,12.75,1
Ponta Delgada,PT,37.73,-25.67,60.8,82,5.82,20
Tessalit,ML,20.2,1.01,86.04,10,7.78,99
Kattivākkam,IN,13.22,80.32,77.52,88,6.06,75
Bonthe,SL,7.53,-12.51,81.97,84,5.7,1
Sulangan,PH,11.14,123.72,80.56,79,10.11,11
Cayenne,GF,4.93,-52.33,80.6,88,10.29,94
Rio Grande,BR,-32.03,-52.1,71.6,53,12.75,75
Russell,US,32.35,-85.2,82.2,51,10.29,1
Great Yarmouth,GB,52.61,1.73,46.76,93,8.05,58
Palmerston,AU,-12.49,130.98,75.38,78,6.93,20
Brookhaven,US,31.58,-90.44,84.4,48,5.82,20
Salalah,OM,17.02,54.09,80.6,83,4.7,40
Beloha,MG,-25.17,45.05,69.01,76,15.19,63
Bataiporã,BR,-22.3,-53.27,73.76,51,3.85,0
Greenville,US,35.61,-77.37,80.67,39,11.41,1
Westport,US,41.14,-73.36,52.39,58,19.46,75
Ternate,ID,0.8,127.4,78.82,80,7.52,46
Vao,NC,-22.67,167.48,73.9,73,16.49,15
Serdobsk,RU,52.46,44.22,47.66,71,8.59,34
Mehamn,NO,71.04,27.85,24.28,92,16.44,100
Okhotsk,RU,59.38,143.3,23.07,87,11.21,0
Skibbereen,IE,51.55,-9.27,50.0,87,3.36,75
Port Elizabeth,ZA,-33.92,25.57,60.8,93,2.24,49
Geraldton,AU,-28.77,114.6,64.4,82,7.14,5
Sabha,LY,27.04,14.43,66.31,27,9.57,0
Mahur,IN,25.17,93.12,63.54,54,1.81,58
West Wendover,US,40.74,-114.07,60.8,38,26.4,75
Kirakira,SB,-10.45,161.92,80.96,76,5.23,7
Tura,IN,25.52,90.22,69.58,46,3.15,0
Eyl,SO,7.98,49.82,81.81,66,9.73,80
Sept-Îles,CA,50.2,-66.38,34.7,51,8.05,20
Gao,ML,16.64,1.64,86.47,10,4.83,46
Huazhou,CN,21.63,110.58,69.44,84,9.4,81
Waipawa,NZ,-41.41,175.52,53.06,81,3.36,76
Kiknur,RU,57.3,47.2,44.24,77,9.8,100
Mendeleyevo,RU,56.03,37.22,50.14,57,6.71,100
Petropavl,KZ,54.88,69.16,31.68,86,10.25,74
Brigantine,US,39.41,-74.36,58.64,38,26.4,20
Saint Paul Harbor,US,57.79,-152.41,37.4,47,5.82,1
Verkhoyansk,RU,67.54,133.38,22.87,90,7.38,67
Cabedelo,BR,-6.98,-34.83,82.4,83,6.93,71
Buritis,BR,-15.62,-46.42,76.24,70,1.83,21
Lüneburg,DE,53.25,10.4,43.92,70,6.93,100
Distrikt Brokopondo,SR,4.75,-55.17,82.62,73,4.72,100
Hong Kong,HK,22.29,114.16,68.09,46,17.22,0
Payo,ID,-3.75,103.64,73.72,90,1.21,100
Tezu,IN,27.92,96.17,70.59,33,4.32,30
Piteå,SE,65.32,21.48,30.87,68,3.36,91
Cabrera,DO,19.64,-69.9,84.42,66,11.41,20
Atambua,ID,-9.11,124.89,72.77,80,3.04,2
Carnarvon,AU,-24.87,113.63,73.4,94,8.05,3
Lenart,SI,46.58,15.83,50.59,61,3.36,4
Tuy Hoa,VN,13.08,109.3,76.98,86,3.94,100
Palmer,US,42.16,-72.33,46.13,70,12.75,75
Bāfq,IR,31.61,55.41,64.99,45,13.49,100
Miyako,JP,39.64,141.95,40.21,81,4.85,52
Nantucket,US,41.28,-70.1,48.76,87,23.04,90
Harper,LR,4.38,-7.72,80.71,79,0.72,100
Tiarei,PF,-17.53,-149.33,87.8,66,10.29,61
Leningradskiy,RU,69.38,178.42,-2.96,90,4.81,66
Ariano Irpino,IT,41.15,15.08,46.65,53,10.29,5
Bayan,CN,46.08,127.4,42.01,38,4.99,0
Nemuro,JP,43.32,145.57,31.46,94,8.55,80
Malanje,AO,-9.54,16.34,67.48,67,1.28,75
Harwich,GB,51.94,1.28,48.27,87,5.82,17
Katsuura,JP,35.13,140.3,47.97,81,5.82,75
Shingū,JP,33.73,135.98,45.36,60,6.91,0
Usinsk,RU,65.99,57.53,32.5,95,12.97,100
Tamiahua,MX,21.27,-97.45,84.07,71,10.85,91
Maragogi,BR,-9.01,-35.22,81.27,73,8.99,45
Scarborough,GB,54.28,-0.4,44.46,100,6.93,100
Kalmunai,LK,7.42,81.82,80.96,74,5.37,29
Mar del Plata,AR,-38.0,-57.56,62.22,77,5.82,40
Bandarbeyla,SO,9.49,50.81,80.35,67,8.52,76
Matagami,CA,49.75,-77.63,33.8,100,6.93,90
Torbay,CA,47.67,-52.73,35.04,47,11.41,20
Ilulissat,GL,69.22,-51.1,30.2,36,4.7,0
Te Anau,NZ,-45.42,167.72,50.49,68,2.8,68
Trybukhivtsi,UA,49.04,25.46,52.77,53,8.86,39
Visnes,NO,59.36,5.22,39.09,60,12.75,52
Rundu,NA,-17.93,19.77,73.4,69,3.36,3
Siocon,PH,7.71,122.14,80.74,75,7.56,0
Hay River,CA,60.82,-115.8,28.4,86,18.34,90
Simao,CN,22.79,100.97,57.43,61,1.52,6
Tegul'det,RU,57.31,88.17,28.99,93,6.62,100
Ust-Maya,RU,60.42,134.53,29.73,96,1.23,100
Kahului,US,20.89,-156.47,77.22,65,10.29,40
Nísia Floresta,BR,-6.09,-35.21,82.4,83,6.93,20
Formosa do Rio Preto,BR,-11.05,-45.19,76.41,73,1.61,100
Matiari,PK,25.6,68.45,77.0,57,2.24,1
Kavieng,PG,-2.57,150.8,83.14,76,6.62,58
Bambous Virieux,MU,-20.34,57.76,76.51,83,5.82,40
Behshahr,IR,36.69,53.55,52.68,53,2.17,100
São Gabriel da Cachoeira,BR,-0.13,-67.09,85.59,66,1.97,48
Havelock,US,34.88,-76.9,79.75,39,18.34,20
Saint George,US,37.1,-113.58,51.89,50,11.41,40
Nishihara,JP,26.18,127.76,60.3,77,9.17,20
Marrakesh,MA,31.63,-8.01,71.6,49,9.17,40
Kasempa,ZM,-13.46,25.83,66.58,57,9.71,98
Bandar,ID,2.05,99.75,73.06,85,1.1,99
Jérémie,HT,18.65,-74.12,82.35,67,3.44,23
Shanhecun,CN,44.7,127.2,34.47,77,4.52,1
Isangel,VU,-19.55,169.27,77.13,67,14.54,13
Damaturu,NG,11.75,11.96,88.05,11,10.42,81
Kununurra,AU,-15.77,128.73,77.0,61,9.17,75
Dīr,PK,35.21,71.88,48.6,37,5.55,51
Half Moon Bay,US,37.46,-122.43,61.16,59,5.82,75
Mattru,SL,7.62,-11.83,78.03,86,4.56,26
Ancud,CL,-41.87,-73.82,57.2,82,10.29,75
Vidalia,US,32.22,-82.41,86.47,35,12.75,1
Barcelos,PT,41.54,-8.62,57.65,100,5.82,90
Lososina,RU,49.0,140.31,33.91,87,7.49,97
Krasnyy Chikoy,RU,50.36,108.75,34.07,56,2.51,0
Pacific Grove,US,36.62,-121.92,58.53,67,5.82,75
Poya,NC,-21.35,165.15,73.94,74,5.91,2
Namatanai,PG,-3.67,152.43,82.51,75,6.96,92
Tahe,CN,52.33,124.73,29.23,82,5.14,37
Taoudenni,ML,22.68,-3.98,88.59,11,12.41,0
Puri,IN,19.8,85.85,78.8,94,10.8,6
Neuquén,AR,-38.95,-68.06,82.4,30,8.05,0
Oxelösund,SE,58.67,17.1,33.58,55,5.82,0
Dimitrovgrad,RU,54.21,49.62,41.0,75,6.71,37
Dumas,US,35.87,-101.97,60.51,47,11.41,1
Colón,PA,9.36,-79.9,88.21,62,10.29,40
Ipixuna,BR,-1.76,-48.8,78.8,94,9.17,75
Tainan City,TW,22.99,120.21,68.7,93,5.19,20
Margate,GB,51.38,1.39,51.31,87,5.82,9
Teguise,ES,29.06,-13.56,69.8,77,17.22,20
Bumba,CD,2.18,22.47,68.38,85,1.54,100
Sartell,US,45.62,-94.21,37.53,47,13.87,75
Ziyang,CN,29.25,117.85,59.07,65,3.02,42
Deputatsky,RU,69.3,139.9,15.24,87,4.83,80
Karratha,AU,-20.74,116.85,81.79,59,7.34,8
Porto Santo,PT,33.07,-16.34,66.72,88,5.82,40
Saint-Pierre,RE,-21.34,55.48,69.48,69,5.82,9
Tsiroanomandidy,MG,-18.77,46.03,66.58,69,4.43,31
Shar,KZ,49.59,81.05,33.31,79,5.46,97
Prince Rupert,CA,54.32,-130.32,42.8,75,8.05,1
Pinos,MX,22.3,-101.57,89.6,17,8.05,5
Khovd,MN,48.01,91.64,37.98,37,1.79,44
Mabaruma,GY,8.2,-59.78,84.11,66,8.37,86
Stary Oskol,RU,51.3,37.84,48.07,63,6.46,2
Qarqīn,AF,37.42,66.04,46.45,53,8.19,19
Dukat,RU,62.55,155.55,1.24,84,3.69,24
Sakakah,SA,29.97,40.21,64.4,23,13.87,0
Chato,TZ,-2.64,31.77,69.73,61,4.88,67
Arinos,BR,-15.92,-46.11,77.67,69,3.56,16
Nacogdoches,US,31.6,-94.63,82.33,74,3.36,20
Monrovia,LR,6.3,-10.8,77.0,94,3.78,40
Pisco,PE,-13.7,-76.22,73.06,30,21.92,19
Pringsewu,ID,-5.36,104.97,73.49,89,1.52,59
Xinqing,CN,48.23,129.5,29.52,88,2.62,0
Santa Maria,BR,-29.68,-53.81,73.4,43,3.36,40
Amuntai,ID,-2.42,115.25,74.44,95,0.83,36
Ahipara,NZ,-35.17,173.17,62.87,71,13.62,16
Vanavara,RU,60.34,102.28,33.3,86,4.34,100
Mount Isa,AU,-20.73,139.5,71.6,37,8.05,41
Gryazovets,RU,58.88,40.25,42.98,85,4.83,100
Cairns,AU,-16.92,145.77,77.0,78,9.17,85
Ocós,GT,14.51,-92.19,94.05,56,9.17,5
Longyearbyen,SJ,78.22,15.64,8.6,60,10.29,75
Vangaindrano,MG,-23.35,47.6,72.5,92,10.16,100
Vilhena,BR,-12.74,-60.15,75.96,79,2.55,96
Natal,BR,-5.79,-35.21,82.4,83,6.93,20
Amahai,ID,-3.33,128.92,80.29,74,6.58,93
Kribi,CM,2.95,9.92,79.93,80,3.49,54
Paragominas,BR,-2.97,-47.48,78.31,90,3.36,97
Motygino,RU,58.18,94.76,29.5,96,4.14,100
Charters Towers,AU,-20.1,146.27,67.3,83,5.79,62
Aksarka,RU,66.56,67.8,33.82,90,22.01,97
Dosso,NE,13.05,3.19,87.96,41,12.88,100
La Mira,MX,18.04,-102.33,90.48,35,8.5,26
Grand Baie,MU,-20.02,57.58,76.35,83,5.82,40
Wanning,CN,18.8,110.4,74.75,85,7.18,94
Akureyri,IS,65.68,-18.09,30.2,68,3.36,0
Kalianget,ID,-7.05,113.93,81.59,79,8.55,90
Paamiut,GL,61.99,-49.67,37.92,75,2.37,100
Makakilo City,US,21.35,-158.09,78.13,65,3.36,40
Sibolga,ID,1.74,98.78,76.35,79,3.8,100
Atar,MR,20.52,-13.05,85.93,12,9.1,0
Namtsy,RU,62.72,129.67,17.6,92,2.24,98
Evensk,RU,61.95,159.23,12.52,88,8.5,1
Tiksi,RU,71.69,128.87,35.76,86,28.43,100
Kutum,SD,14.2,24.67,71.98,14,6.62,8
Nome,US,64.5,-165.41,15.4,78,17.22,90
Fairbanks,US,64.84,-147.72,18.75,52,10.29,1
Leh,IN,34.17,77.58,23.09,24,6.49,100
Yar-Sale,RU,66.83,70.83,33.71,95,22.35,100
Lexington,US,37.99,-84.48,56.57,32,18.34,1
Laas,IT,46.62,10.7,46.42,65,5.82,5
Balabac,PH,7.99,117.06,79.74,71,6.64,0
Takoradze,GH,4.88,-1.76,82.17,82,7.14,0
Nan,TH,18.83,100.67,71.56,68,2.19,4
Villa Bruzual,VE,9.33,-69.12,95.47,36,4.94,100
Brownwood,US,31.71,-98.99,70.47,68,8.05,1
Shimoda,JP,34.67,138.95,46.47,86,1.99,16
Moose Factory,CA,51.26,-80.61,35.6,59,16.11,75
Ca Mau,VN,9.18,105.15,78.85,80,5.93,64
Mossamedes,AO,-15.2,12.15,76.84,50,12.28,0
Shīeli,KZ,44.17,66.75,42.35,51,6.58,0
Djibouti,DJ,11.5,42.5,82.4,78,3.36,20
Siilinjärvi,FI,63.08,27.67,33.8,59,11.41,13
Masuguru,TZ,-11.37,38.42,72.07,91,3.67,11
Turaif,SA,31.67,38.66,55.4,66,18.34,0
Shache,CN,38.42,77.24,57.38,21,19.53,100
Barra de Tecoanapa,MX,16.52,-98.75,89.62,44,14.05,96
Neryungri,RU,56.67,124.65,18.86,73,0.58,23
Aykhal,RU,66.0,111.5,26.6,100,8.95,90
Hambantota,LK,6.12,81.12,80.62,78,5.91,0
Santa Marta,CO,11.24,-74.2,90.61,70,8.05,40
Baoying,CN,33.23,119.31,46.74,72,12.01,90
Gigmoto,PH,13.78,124.39,80.73,71,7.61,1
Stanghelle,NO,60.55,5.74,36.86,80,13.87,40
Alofi,NU,-19.06,-169.92,82.4,83,8.05,75
Chapleau,CA,47.84,-83.4,30.2,74,11.41,90
Hualmay,PE,-11.1,-77.61,77.11,68,9.6,8
Virginia Beach,US,36.85,-75.98,78.8,33,14.99,75
Port Blair,IN,11.67,92.75,81.43,66,3.24,16
Concarneau,FR,47.88,-3.92,57.36,63,3.36,0
Gaoua,BF,10.3,-3.25,88.79,33,5.21,100
Alice Springs,AU,-23.7,133.88,50.0,76,6.89,0
Hidalgo,MX,20.5,-99.0,82.67,13,4.88,50
Morón,AR,-34.65,-58.62,65.46,63,6.93,0
Kiomboi,TZ,-4.27,34.37,61.45,62,8.28,82
Pimentel,PE,-6.84,-79.93,66.2,29,19.46,56
Ngawen,ID,-7.0,111.31,75.11,90,2.82,100
Nanuque,BR,-17.84,-40.35,72.1,91,6.69,100
Bria,CF,6.54,21.99,73.13,71,3.47,95
Lüderitz,NA,-26.65,15.16,59.0,87,10.29,34
Burhaniye,TR,39.5,26.97,57.2,50,13.87,0
Bow Island,CA,49.87,-111.37,51.03,31,18.34,90
Beringovskiy,RU,63.05,179.32,12.51,94,9.04,69
Baturaja,ID,-4.13,104.17,73.58,95,1.74,98
Lewistown,US,40.6,-77.57,49.05,37,18.34,20
Paita,PE,-5.09,-81.11,80.62,59,16.33,100
Requena,ES,39.49,-1.1,57.47,87,3.36,20
Los Llanos de Aridane,ES,28.66,-17.92,69.8,77,9.17,88
Saint Anthony,US,45.02,-93.22,38.88,35,19.46,75
Srednekolymsk,RU,67.45,153.68,7.14,92,10.38,100
Sisimiut,GL,66.94,-53.67,27.91,85,5.08,0
Plouzané,FR,48.38,-4.62,57.76,76,4.7,2
Shwebo,MM,22.57,95.7,78.12,42,2.77,37
Macenta,GN,8.54,-9.47,73.17,75,0.31,100
Turukhansk,RU,65.82,87.98,20.7,96,12.8,98
Port Keats,AU,-14.25,129.55,75.99,83,10.31,34
Caucayá,CO,-0.19,-74.78,78.78,86,3.56,89
Koróni,GR,36.8,21.95,50.09,81,4.7,0
Merauke,ID,-8.47,140.33,76.17,90,8.75,100
Cochabamba,BO,-17.39,-66.16,80.6,19,4.7,20
Haines Junction,CA,60.75,-137.51,26.02,81,3.56,100
Tiznit Province,MA,29.58,-9.5,64.56,42,5.68,49
Jiuquan,CN,39.74,98.52,39.79,32,5.3,0
Pittsburg,US,38.03,-121.88,60.89,67,14.99,90
Balkhash,KZ,46.84,74.98,34.83,72,2.48,2
Walvis Bay,NA,-22.96,14.51,61.86,77,1.12,3
Malakal,SS,9.53,31.66,88.2,39,3.11,88
Buraidah,SA,26.33,43.98,80.6,32,8.05,3
Nāspur,IN,18.83,79.45,81.05,51,8.61,0
Chapais,CA,49.78,-74.85,39.2,38,11.41,90
Lata,PT,40.16,-8.33,59.95,93,2.24,90
Viedma,AR,-40.81,-63.0,72.84,28,16.82,0
Noumea,NC,-22.28,166.46,71.6,68,3.36,34
Arman',RU,59.7,150.17,16.83,88,8.19,0
Les Cayes,HT,18.2,-73.75,82.15,72,3.36,13
Najrān,SA,17.49,44.13,75.2,19,4.18,0
Baykit,RU,61.67,96.37,27.39,92,6.26,41
Lively,CA,46.43,-81.15,37.33,74,20.8,90
Kinablangan,PH,7.69,126.55,77.16,80,2.84,41
Choma,ZM,-16.81,26.95,63.03,54,6.04,26
Cerrito,CO,6.84,-72.69,80.6,74,8.05,40
